,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
286,Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:10,03:00,03h 50m,INR 5000,1 Seat available,New,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
287,IntrCity SmartBus,A/C Seater / Sleeper (2+1),17:35,23:35,06h 00m,INR 525,19 Seats available,"4.6
162",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
288,Go Tour Travels and Holidays,A/C Sleeper (2+1),20:55,02:15,05h 20m,854,25 Seats available,"4.8
5",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
289,Zingbus Plus,A/C Sleeper (2+1),20:05,23:35,03h 30m,683,25 Seats available,"4.8
13",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
290,Go Tour Travels and Holidays,A/C Sleeper (2+1),19:30,01:15,05h 45m,854,18 Seats available,4.8,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
291,Intercity travels,Bharat Benz A/C Sleeper (2+1),20:00,00:30,04h 30m,INR 999,19 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
292,IntrCity SmartBus,AC Sleeper (2+1),18:20,00:20,06h 00m,INR 726,29 Seats available,"4.2
23",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
293,IntrCity SmartBus,A/C Sleeper (2+1),18:00,00:05,06h 05m,INR 726,26 Seats available,"4.6
24",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
294,DHANUNJAYA TRAVELS,A/C Semi Sleeper / Sleeper (2+1),20:30,00:50,04h 20m,INR 499,30 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
295,IntrCity SmartBus,AC Sleeper (2+1),19:00,01:40,06h 40m,INR 726,23 Seats available,"4.3
5",https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
296,BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,02:00,06h 00m,1280,25 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh)
297,NueGo,Electric A/C Seater (2+2),13:00,17:30,04h 30m,361,14 Seats available,"4.4
57",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
298,NueGo,Electric A/C Seater (2+2),14:00,18:30,04h 30m,361,17 Seats available,"4.2
86",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
299,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),14:55,20:13,05h 18m,INR 630,14 Seats available,"4.2
19",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
300,Venson Transports,Non AC Seater (2+3),16:20,22:00,05h 40m,INR 275,58 Seats available,"3.0
56",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
301,NueGo,Electric A/C Seater (2+2),18:00,23:40,05h 40m,474,15 Seats available,"3.4
33",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
302,CHAITRA SRI TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,23:50,04h 35m,INR 600,29 Seats available,"3.5
7",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
303,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:00,00:05,04h 05m,INR 611,28 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
304,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:10,23:25,03h 15m,INR 523,27 Seats available,"3.5
12",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
305,RK Travels,Non A/C Seater / Sleeper (2+1),20:20,01:50,05h 30m,INR 399,20 Seats available,"3.9
13",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
306,VEGA BUS,A/C Seater / Sleeper (2+1),20:25,01:10,04h 45m,475,34 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
307,RK Travels,Non A/C Seater / Sleeper (2+1),20:30,02:00,05h 30m,INR 399,31 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
308,RK Travels,Non A/C Seater / Sleeper (2+1),20:30,02:00,05h 30m,INR 399,27 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
309,Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),21:00,01:50,04h 50m,INR 499,17 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
310,RK Travels,A/C Seater / Sleeper (2+1),21:00,02:30,05h 30m,INR 399,26 Seats available,"3.5
7",https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
311,Chalasani Travels (Kaleswari),A/C Sleeper (2+1),19:30,23:20,03h 50m,765,17 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh)
312,APSRTC - 6332,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:45,17:15,04h 30m,INR 340,30 Seats available,"3.6
12",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
313,APSRTC - 52847,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:45,16:50,04h 05m,INR 340,33 Seats available,"1.9
27",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
314,APSRTC - 52265,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",13:30,18:30,05h 00m,INR 307,34 Seats available,"1.6
17",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
315,APSRTC - 52849,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,18:00,04h 00m,INR 340,34 Seats available,"3.8
48",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
316,APSRTC - 52975,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,18:30,04h 00m,INR 340,34 Seats available,"4.0
18",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
317,YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),20:30,23:30,03h 00m,INR 700,35 Seats available,4.2,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
318,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),20:05,23:40,03h 35m,INR 900,5 Seats available,"4.5
8",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
319,YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:10,01:15,03h 05m,INR 700,34 Seats available,"4.6
18",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
320,YAS TOURS AND TRAVELS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:00,01:15,03h 15m,INR 1500,12 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
321,Royal Rich India,Bharat Benz A/C Sleeper (2+1),20:10,23:45,03h 35m,950,15 Seats available,4.7,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
322,APSRTC - 5460,SAPTAGIRI EXPRESS,12:30,18:30,06h 00m,INR 284,45 Seats available,"4.6
10",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
323,APSRTC - 47147,INDRA(A.C. Seater),13:00,18:15,05h 15m,INR 506,36 Seats available,"4.1
56",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
324,APSRTC - 5624,Express(Non AC Seater),13:20,19:20,06h 00m,INR 294,42 Seats available,"3.5
9",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
325,APSRTC - 9007,Express(Non AC Seater),13:45,19:45,06h 00m,INR 280,45 Seats available,"3.9
12",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
326,APSRTC - 5444,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,20:00,06h 00m,INR 398,34 Seats available,"4.0
43",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
327,APSRTC - 47236,Express(Non AC Seater),14:15,20:20,06h 05m,INR 280,38 Seats available,"4.6
7",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
328,APSRTC - 5490,SAPTAGIRI EXPRESS,14:45,20:45,06h 00m,INR 284,44 Seats available,"2.4
18",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
329,APSRTC - 5075,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:45,19:00,04h 15m,INR 632,33 Seats available,"3.6
52",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
330,APSRTC - 9774,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,19:50,04h 50m,INR 398,29 Seats available,"2.6
19",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
331,APSRTC - 5452,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,21:00,06h 00m,INR 398,34 Seats available,"4.3
48",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
332,APSRTC - 9049,Express(Non AC Seater),15:20,20:40,05h 20m,INR 280,42 Seats available,"3.7
19",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
333,APSRTC - 3758,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,21:20,04h 50m,INR 398,33 Seats available,"3.2
11",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
334,APSRTC - 5518,SAPTAGIRI EXPRESS,17:00,23:00,06h 00m,INR 314,45 Seats available,"3.9
28",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
335,APSRTC - 9003,Express(Non AC Seater),18:00,00:25,06h 25m,INR 294,45 Seats available,"2.1
4",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
336,APSRTC - 9041,Express(Non AC Seater),19:00,01:25,06h 25m,INR 314,47 Seats available,3.7,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
337,NueGo,Electric A/C Seater (2+2),11:20,17:10,05h 50m,332,2 Seats available,"3.9
371",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
338,FRESHBUS,Electric A/C Seater (2+2),12:00,18:00,06h 00m,450,34 Seats available,"4.7
419",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
339,NueGo,Electric A/C Seater (2+2),12:00,18:45,06h 45m,332,13 Seats available,"4.0
325",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
340,Venture transport services,A/C Sleeper (2+1),13:00,17:25,04h 25m,INR 799,25 Seats available,"4.4
32",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
341,FRESHBUS,Electric A/C Seater (2+2),14:00,20:20,06h 20m,450,21 Seats available,"4.6
481",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
342,APSRTC - 5984,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,02:45,05h 30m,INR 467,24 Seats available,"3.2
33",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
343,APSRTC - 4590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,02:45,05h 15m,INR 467,10 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
344,APSRTC - 4578,INDRA(A.C. Seater),22:00,02:44,04h 44m,INR 565,13 Seats available,"3.9
84",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
345,APSRTC - 48020,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:09,04h 54m,INR 467,18 Seats available,"3.6
56",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
346,APSRTC - 5997,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:42,05h 27m,INR 467,11 Seats available,"3.9
113",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
347,APSRTC - 4584,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:19,05h 04m,INR 467,11 Seats available,"4.3
75",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
348,APSRTC - 5944,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,03:58,05h 33m,INR 467,11 Seats available,"3.8
94",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
349,APSRTC - 4588,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,03:49,05h 04m,INR 467,5 Seats available,"3.9
98",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
350,APSRTC - 5969,INDRA(A.C. Seater),22:50,02:44,03h 54m,INR 565,28 Seats available,"3.5
106",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
351,APSRTC - 5938,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:05,04:42,05h 37m,INR 435,7 Seats available,"3.7
45",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
352,JOSH BUS,Non A/C Seater / Sleeper (2+1),22:45,06:00,07h 15m,INR 600,22 Seats available,"4.4
88",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
353,Kaveri Travels,A/C Sleeper (2+1),22:55,05:00,06h 05m,INR 750,13 Seats available,"3.8
108",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
354,Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),23:05,05:30,06h 25m,INR 550,30 Seats available,"3.7
119",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
355,V Kaveri Travels,A/C Sleeper (2+1),22:30,05:15,06h 45m,INR 900,16 Seats available,"3.8
89",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
356,JOSH BUS,Non A/C Seater / Sleeper (2+1),23:15,06:00,06h 45m,INR 600,21 Seats available,"4.5
42",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
357,APSRTC - 5985,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,03:15,08h 15m,INR 435,28 Seats available,"3.0
13",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
358,APSRTC - 5968,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,03:30,07h 45m,INR 435,28 Seats available,"4.0
50",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
359,APSRTC - 4585,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,05:00,09h 00m,INR 435,29 Seats available,"3.8
79",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
360,APSRTC - 5939,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:10,03:50,07h 40m,INR 431,33 Seats available,"3.4
19",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
361,APSRTC - 5999,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,04:00,07h 40m,INR 435,26 Seats available,"3.5
42",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
362,APSRTC - 48021,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:40,03:55,07h 15m,INR 467,34 Seats available,"3.8
37",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
363,APSRTC - 5970,INDRA(A.C. Seater),21:00,05:00,08h 00m,INR 526,29 Seats available,"2.7
63",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
364,APSRTC - 5988,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:20,04:45,07h 25m,INR 431,23 Seats available,"4.4
57",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
365,APSRTC - 5945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:20,05:00,07h 40m,INR 435,16 Seats available,"3.7
105",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
366,APSRTC - 4589,INDRA(A.C. Seater),21:30,05:30,08h 00m,INR 526,24 Seats available,"2.8
94",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
367,APSRTC - 94582,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:35,05:30,07h 55m,INR 447,3 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
368,APSRTC - 5998,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,05:00,07h 15m,INR 435,22 Seats available,"4.3
161",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
369,APSRTC - 4591,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,05:55,07h 55m,INR 435,18 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
370,JOSH BUS,Non A/C Seater / Sleeper (2+1),21:30,04:50,07h 20m,INR 500,20 Seats available,"4.3
84",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
371,Kaveri Travels,A/C Sleeper (2+1),21:30,05:00,07h 30m,INR 700,21 Seats available,"3.9
206",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
372,Sri Krishna Travels,NON A/C Semi Sleeper / Sleeper (2+1),20:15,05:00,08h 45m,INR 500,22 Seats available,"3.8
107",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
373,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,05:30,08h 00m,INR 500,30 Seats available,"4.0
63",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
374,MVN Tours and Travels,Non A/C Seater / Sleeper (2+1),22:50,04:30,05h 40m,405,35 Seats available,New,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
375,NueGo,Electric A/C Seater/Sleeper (2+1),20:00,04:15,08h 15m,427,27 Seats available,"4.2
288",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
376,Yolo Bus,A/C Seater / Sleeper (2+1),21:00,05:55,08h 55m,INR 350,25 Seats available,"4.0
404",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
377,NueGo,Electric A/C Seater (2+2),13:00,21:15,08h 15m,427,33 Seats available,"4.1
27",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
378,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07:15,08h 15m,427,21 Seats available,"4.2
350",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
379,Svkdt travels,A/C Seater / Sleeper (2+1),22:15,06:15,08h 00m,INR 500,25 Seats available,"4.2
315",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
380,NueGo,Electric A/C Seater/Sleeper (2+1),21:45,06:00,08h 15m,556,23 Seats available,"4.1
260",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
381,IntrCity SmartBus,AC Sleeper (2+1),22:00,06:10,08h 10m,INR 595,22 Seats available,"4.3
312",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
382,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,05:30,08h 30m,INR 405,25 Seats available,"4.4
361",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
383,Yolo Bus,A/C Sleeper (2+1),21:31,05:03,07h 32m,INR 510,19 Seats available,"4.6
346",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
384,Svkdt travels,A/C Seater / Sleeper (2+1),21:20,05:15,07h 55m,INR 500,29 Seats available,"4.1
284",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
385,APSRTC - 6013,Express(Non AC Seater),12:30,18:15,05h 45m,INR 269,46 Seats available, ,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
386,APSRTC - 6015,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,19:15,05h 45m,INR 353,30 Seats available,"3.9
54",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
387,APSRTC - 50194,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:00,05h 30m,INR 524,27 Seats available,"3.8
37",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
388,APSRTC - 6225,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",15:00,21:00,06h 00m,INR 330,35 Seats available,"3.7
19",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
389,APSRTC - 50013,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,21:15,05h 45m,INR 353,29 Seats available,"3.3
40",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
390,APSRTC - 6005,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,22:15,05h 45m,INR 353,32 Seats available,"3.8
49",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
391,APSRTC - 50079,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,02:00,05h 45m,INR 353,29 Seats available,"3.0
25",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
392,APSRTC - 6017,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,02:45,05h 45m,INR 353,34 Seats available,"3.4
14",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
393,APSRTC - 50062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,03:30,05h 45m,INR 353,32 Seats available,"3.8
31",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
394,APSRTC - 6241,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",22:00,03:00,05h 00m,INR 330,1 Seat available,"4.4
25",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
395,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,02:00,06h 45m,INR 455,24 Seats available,"3.9
18",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
396,S R Travels,Non A/C Seater / Sleeper (2+1),19:30,02:30,07h 00m,INR 550,33 Seats available,"3.0
7",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
397,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),19:30,02:45,07h 15m,INR 500,27 Seats available,"4.1
6",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
398,Ahobila Travels,Non A/C Seater / Sleeper (2+1),19:35,02:45,07h 10m,INR 450,30 Seats available,3.0,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
399,Sri Vinayaka Travels,NON A/C Sleeper (2+1),19:45,03:00,07h 15m,INR 599,21 Seats available,"3.1
10",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
400,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,07:15,07h 45m,INR 595,25 Seats available,"4.5
373",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
401,GMRK Tours and Travels,Bharat Benz A/C Sleeper (2+1),23:30,06:10,06h 40m,INR 599,20 Seats available,"4.4
453",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
402,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:50,07h 12m,391,31 Seats available,"4.4
413",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
403,AdIntrCity SmartBus,AC Sleeper (2+1),23:50,07:25,07h 35m,INR 630,18 Seats available,"4.4
112",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
404,IntrCity SmartBus,AC Sleeper (2+1),23:10,06:50,07h 40m,INR 595,19 Seats available,"4.4
332",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
405,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),22:15,05:30,07h 15m,854,33 Seats available,"4.5
185",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
406,NueGo,Electric A/C Seater (2+2),22:35,06:35,08h 00m,356,23 Seats available,"4.6
326",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
407,Svkdt travels,A/C Sleeper (2+1),22:30,06:55,08h 25m,INR 499,21 Seats available,"4.3
333",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
